Timestamp/DeltaT,Message,Signal,Value
0 ms,RadarObj9,RelVelX9,-22.19999999999999
0 ms,RadarObj9,RelAccX9,-22.799999999999997
0 ms,RadarObj10,RelPosX10,-293.79999999999995
0 ms,RadarObj10,RelPosY10,-963.1
0 ms,RadarObj10,RelVelX10,6392.8
0 ms,RadarObj10,RelAccX10,-33.4
101 ms,VehicleStatus,VehicleSpeed,142.9
101 ms,VehicleStatus,SteeringAngle,-4523.2
1 ms,VehicleAccel,LateralAccel,6.231
0 ms,LaneInfo,LaneC0,1
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-122.69999999999993
0 ms,RadarObj1,RelPosY1,5122.6
0 ms,RadarObj1,RelVelX1,6442.200000000001
0 ms,RadarObj1,RelAccX1,-9.799999999999997
0 ms,RadarObj2,RelPosX2,4692.3
0 ms,RadarObj2,RelPosY2,-863.1
0 ms,RadarObj2,RelVelX2,-89.8
0 ms,RadarObj2,RelAccX2,6489.400000000001
0 ms,RadarObj3,RelPosX3,5306.200000000001
0 ms,RadarObj3,RelPosY3,-721.2
0 ms,RadarObj3,RelVelX3,-88.4
0 ms,RadarObj3,RelAccX3,-16.1
0 ms,RadarObj4,RelPosX4,4874.1
0 ms,RadarObj4,RelPosY4,-652.8
0 ms,RadarObj4,RelVelX4,6411.1
0 ms,RadarObj4,RelAccX4,6496.6
0 ms,RadarObj5,RelPosX5,4793.8
0 ms,RadarObj5,RelPosY5,4613.6
0 ms,RadarObj5,RelVelX5,-28.299999999999997
0 ms,RadarObj5,RelAccX5,-26.599999999999998
0 ms,RadarObj6,RelPosX6,-635.4
0 ms,RadarObj6,RelPosY6,4757.0
0 ms,RadarObj6,RelVelX6,6408.6
0 ms,RadarObj6,RelAccX6,6465.3
0 ms,RadarObj7,RelPosX7,-862.7
0 ms,RadarObj7,RelPosY7,-418.69999999999993
0 ms,RadarObj7,RelVelX7,-2.3999999999999915
0 ms,RadarObj7,RelAccX7,6467.200000000001
0 ms,RadarObj8,RelPosX8,-555.8
0 ms,RadarObj8,RelPosY8,4940.5
0 ms,RadarObj8,RelVelX8,6365.700000000001
0 ms,RadarObj8,RelAccX8,6499.5
1 ms,RadarObj9,RelPosX9,5435.5
1 ms,RadarObj9,RelPosY9,4894.1
1 ms,RadarObj9,RelVelX9,6420.0
1 ms,RadarObj9,RelAccX9,-8.399999999999999
0 ms,RadarObj10,RelPosX10,-373.69999999999993
0 ms,RadarObj10,RelPosY10,5396.5
0 ms,RadarObj10,RelVelX10,6364.700000000001
0 ms,RadarObj10,RelAccX10,6493.5
99 ms,VehicleStatus,VehicleSpeed,6.23
99 ms,VehicleStatus,SteeringAngle,-7320.9
0 ms,VehicleAccel,LateralAccel,57.842
0 ms,LaneInfo,LaneC0,1
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,0
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-234.0
0 ms,RadarObj1,RelPosY1,-132.19999999999993
0 ms,RadarObj1,RelVelX1,6372.200000000001
0 ms,RadarObj1,RelAccX1,-12.5
0 ms,RadarObj2,RelPosX2,-299.69999999999993
0 ms,RadarObj2,RelPosY2,5425.0
0 ms,RadarObj2,RelVelX2,-48.099999999999994
0 ms,RadarObj2,RelAccX2,-5.199999999999996
0 ms,RadarObj3,RelPosX3,-974.7
0 ms,RadarObj3,RelPosY3,-751.2
0 ms,RadarObj3,RelVelX3,6376.900000000001
0 ms,RadarObj3,RelAccX3,-27.599999999999998
0 ms,RadarObj4,RelPosX4,5157.5
0 ms,RadarObj4,RelPosY4,5019.1
0 ms,RadarObj4,RelVelX4,-22.0
0 ms,RadarObj4,RelAccX4,-40.2
0 ms,RadarObj5,RelPosX5,-579.9
0 ms,RadarObj5,RelPosY5,5025.400000000001
0 ms,RadarObj5,RelVelX5,6402.900000000001
0 ms,RadarObj5,RelAccX5,-31.5
0 ms,RadarObj6,RelPosX6,4562.900000000001
0 ms,RadarObj6,RelPosY6,-493.7
0 ms,RadarObj6,RelVelX6,6359.1
0 ms,RadarObj6,RelAccX6,-7.799999999999997
0 ms,RadarObj7,RelPosX7,-256.0999999999999
0 ms,RadarObj7,RelPosY7,4955.1
0 ms,RadarObj7,RelVelX7,6406.1
0 ms,RadarObj7,RelAccX7,-5.399999999999999
0 ms,RadarObj8,RelPosX8,5155.200000000001
0 ms,RadarObj8,RelPosY8,4654.200000000001
0 ms,RadarObj8,RelVelX8,-25.5
0 ms,RadarObj8,RelAccX8,6485.5
0 ms,RadarObj9,RelPosX9,-189.79999999999995
0 ms,RadarObj9,RelPosY9,5219.0
0 ms,RadarObj9,RelVelX9,6383.0
0 ms,RadarObj9,RelAccX9,-30.2
0 ms,RadarObj10,RelPosX10,-556.4
0 ms,RadarObj10,RelPosY10,5409.1
0 ms,RadarObj10,RelVelX10,-4.0
0 ms,RadarObj10,RelAccX10,-49.1
103 ms,VehicleStatus,VehicleSpeed,34.65
103 ms,VehicleStatus,SteeringAngle,-3462.5999999999995
0 ms,VehicleAccel,LateralAccel,59.759
1 ms,LaneInfo,LaneC0,1
1 ms,LaneInfo,LaneC1,0
1 ms,LaneInfo,LaneC2,0
1 ms,LaneInfo,LaneC3,1
0 ms,RadarObj1,RelPosX1,-567.7
0 ms,RadarObj1,RelPosY1,5038.400000000001
0 ms,RadarObj1,RelVelX1,-82.0
0 ms,RadarObj1,RelAccX1,-7.399999999999999
0 ms,RadarObj2,RelPosX2,-674.2
0 ms,RadarObj2,RelPosY2,4761.3
0 ms,RadarObj2,RelVelX2,-86.3
0 ms,RadarObj2,RelAccX2,6464.5
0 ms,RadarObj3,RelPosX3,4937.6
0 ms,RadarObj3,RelPosY3,5313.0
0 ms,RadarObj3,RelVelX3,6384.700000000001
0 ms,RadarObj3,RelAccX3,-17.6
0 ms,RadarObj4,RelPosX4,5072.8
0 ms,RadarObj4,RelPosY4,-747.9
0 ms,RadarObj4,RelVelX4,6439.5
0 ms,RadarObj4,RelAccX4,6464.1
0 ms,RadarObj5,RelPosX5,-70.0
0 ms,RadarObj5,RelPosY5,5041.400000000001
0 ms,RadarObj5,RelVelX5,6422.900000000001
0 ms,RadarObj5,RelAccX5,-18.2
0 ms,RadarObj6,RelPosX6,-267.29999999999995
0 ms,RadarObj6,RelPosY6,5075.700000000001
0 ms,RadarObj6,RelVelX6,6362.900000000001
0 ms,RadarObj6,RelAccX6,6470.900000000001
0 ms,RadarObj7,RelPosX7,4798.5
0 ms,RadarObj7,RelPosY7,-147.0999999999999
0 ms,RadarObj7,RelVelX7,-13.699999999999989
0 ms,RadarObj7,RelAccX7,6471.700000000001
0 ms,RadarObj8,RelPosX8,4905.8
0 ms,RadarObj8,RelPosY8,-176.89999999999998
0 ms,RadarObj8,RelVelX8,6407.700000000001
0 ms,RadarObj8,RelAccX8,6463.400000000001
0 ms,RadarObj9,RelPosX9,-776.1
0 ms,RadarObj9,RelPosY9,5069.5
0 ms,RadarObj9,RelVelX9,-4.5
0 ms,RadarObj9,RelAccX9,-49.9
0 ms,RadarObj10,RelPosX10,4987.400000000001
0 ms,RadarObj10,RelPosY10,4630.6
0 ms,RadarObj10,RelVelX10,-84.5
0 ms,RadarObj10,RelAccX10,6492.5
100 ms,VehicleStatus,VehicleSpeed,173.44
100 ms,VehicleStatus,SteeringAngle,-4523.299999999999
0 ms,VehicleAccel,LateralAccel,57.375
0 ms,LaneInfo,LaneC0,1
0 ms,LaneInfo,LaneC1,1
0 ms,LaneInfo,LaneC2,0
0 ms,LaneInfo,LaneC3,1
0 ms,RadarObj1,RelPosX1,-84.69999999999993
0 ms,RadarObj1,RelPosY1,5047.1
0 ms,RadarObj1,RelVelX1,6412.400000000001
0 ms,RadarObj1,RelAccX1,6488.1
0 ms,RadarObj2,RelPosX2,5453.700000000001
0 ms,RadarObj2,RelPosY2,-423.0
0 ms,RadarObj2,RelVelX2,-66.0
0 ms,RadarObj2,RelAccX2,6493.0
0 ms,RadarObj3,RelPosX3,-773.5
0 ms,RadarObj3,RelPosY3,-883.0
0 ms,RadarObj3,RelVelX3,-50.099999999999994
0 ms,RadarObj3,RelAccX3,-14.600000000000001
0 ms,RadarObj4,RelPosX4,5351.5
0 ms,RadarObj4,RelPosY4,4722.3
0 ms,RadarObj4,RelVelX4,-90.6
0 ms,RadarObj4,RelAccX4,-8.899999999999999
0 ms,RadarObj5,RelPosX5,5073.3
0 ms,RadarObj5,RelPosY5,4616.5
0 ms,RadarObj5,RelVelX5,-73.2
0 ms,RadarObj5,RelAccX5,-33.8
0 ms,RadarObj6,RelPosX6,5059.0
0 ms,RadarObj6,RelPosY6,-40.39999999999998
0 ms,RadarObj6,RelVelX6,-9.699999999999989
0 ms,RadarObj6,RelAccX6,-39.5
0 ms,RadarObj7,RelPosX7,-350.5
0 ms,RadarObj7,RelPosY7,4984.400000000001
0 ms,RadarObj7,RelVelX7,6357.8
0 ms,RadarObj7,RelAccX7,6469.400000000001
0 ms,RadarObj8,RelPosX8,4755.3
0 ms,RadarObj8,RelPosY8,-156.19999999999993
0 ms,RadarObj8,RelVelX8,6369.200000000001
0 ms,RadarObj8,RelAccX8,6464.0
0 ms,RadarObj9,RelPosX9,-955.2
0 ms,RadarObj9,RelPosY9,5127.700000000001
0 ms,RadarObj9,RelVelX9,-38.4
0 ms,RadarObj9,RelAccX9,6475.400000000001
0 ms,RadarObj10,RelPosX10,-433.5
0 ms,RadarObj10,RelPosY10,-307.0999999999999
0 ms,RadarObj10,RelVelX10,6401.400000000001
0 ms,RadarObj10,RelAccX10,-16.699999999999996
101 ms,VehicleStatus,VehicleSpeed,44.480000000000004
101 ms,VehicleStatus,SteeringAngle,-3661.0999999999995
0 ms,VehicleAccel,LateralAccel,2.477
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,1
0 ms,RadarObj1,RelPosX1,-978.7
0 ms,RadarObj1,RelPosY1,5017.5
0 ms,RadarObj1,RelVelX1,-39.099999999999994
0 ms,RadarObj1,RelAccX1,-31.8
0 ms,RadarObj2,RelPosX2,-455.0
0 ms,RadarObj2,RelPosY2,5063.200000000001
0 ms,RadarObj2,RelVelX2,-82.1
0 ms,RadarObj2,RelAccX2,-10.799999999999997
0 ms,RadarObj3,RelPosX3,-587.5
0 ms,RadarObj3,RelPosY3,5485.1
0 ms,RadarObj3,RelVelX3,-29.39999999999999
0 ms,RadarObj3,RelAccX3,-30.099999999999998
0 ms,RadarObj4,RelPosX4,-767.1
0 ms,RadarObj4,RelPosY4,-84.0
0 ms,RadarObj4,RelVelX4,-54.4
0 ms,RadarObj4,RelAccX4,6458.400000000001
0 ms,RadarObj5,RelPosX5,4581.0
0 ms,RadarObj5,RelPosY5,4796.8
0 ms,RadarObj5,RelVelX5,6359.3
0 ms,RadarObj5,RelAccX5,-36.6
0 ms,RadarObj6,RelPosX6,5062.1
0 ms,RadarObj6,RelPosY6,-324.0999999999999
0 ms,RadarObj6,RelVelX6,-66.0
0 ms,RadarObj6,RelAccX6,6475.900000000001
0 ms,RadarObj7,RelPosX7,5549.200000000001
0 ms,RadarObj7,RelPosY7,5541.1
0 ms,RadarObj7,RelVelX7,6446.900000000001
0 ms,RadarObj7,RelAccX7,-35.0
0 ms,RadarObj8,RelPosX8,-742.2
0 ms,RadarObj8,RelPosY8,5120.400000000001
0 ms,RadarObj8,RelVelX8,6418.900000000001
0 ms,RadarObj8,RelAccX8,6500.6
1 ms,RadarObj9,RelPosX9,4564.400000000001
1 ms,RadarObj9,RelPosY9,4905.5
1 ms,RadarObj9,RelVelX9,6376.900000000001
1 ms,RadarObj9,RelAccX9,-2.3999999999999986
0 ms,RadarObj10,RelPosX10,4655.6
0 ms,RadarObj10,RelPosY10,-161.39999999999998
0 ms,RadarObj10,RelVelX10,6364.200000000001
0 ms,RadarObj10,RelAccX10,-34.0
100 ms,VehicleStatus,VehicleSpeed,103.66
100 ms,VehicleStatus,SteeringAngle,-4523.299999999999
0 ms,VehicleAccel,LateralAccel,56.329
1 ms,LaneInfo,LaneC0,0
1 ms,LaneInfo,LaneC1,0
1 ms,LaneInfo,LaneC2,1
1 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,4660.200000000001
0 ms,RadarObj1,RelPosY1,4788.0
0 ms,RadarObj1,RelVelX1,6367.900000000001
0 ms,RadarObj1,RelAccX1,6494.6
0 ms,RadarObj2,RelPosX2,-272.5
0 ms,RadarObj2,RelPosY2,-467.6
0 ms,RadarObj2,RelVelX2,6371.900000000001
0 ms,RadarObj2,RelAccX2,6474.700000000001
0 ms,RadarObj3,RelPosX3,4944.1
0 ms,RadarObj3,RelPosY3,-722.5
0 ms,RadarObj3,RelVelX3,6356.8
0 ms,RadarObj3,RelAccX3,-34.9
0 ms,RadarObj4,RelPosX4,-976.9
0 ms,RadarObj4,RelPosY4,5173.0
0 ms,RadarObj4,RelVelX4,6367.1
0 ms,RadarObj4,RelAccX4,-19.2
0 ms,RadarObj5,RelPosX5,5106.6
0 ms,RadarObj5,RelPosY5,4754.400000000001
0 ms,RadarObj5,RelVelX5,6404.1
0 ms,RadarObj5,RelAccX5,-10.699999999999996
0 ms,RadarObj6,RelPosX6,4875.5
0 ms,RadarObj6,RelPosY6,4918.200000000001
0 ms,RadarObj6,RelVelX6,-67.5
0 ms,RadarObj6,RelAccX6,6471.8
0 ms,RadarObj7,RelPosX7,4557.400000000001
0 ms,RadarObj7,RelPosY7,-573.2
0 ms,RadarObj7,RelVelX7,6426.700000000001
0 ms,RadarObj7,RelAccX7,6467.8
1 ms,RadarObj8,RelPosX8,5271.3
1 ms,RadarObj8,RelPosY8,-177.89999999999998
1 ms,RadarObj8,RelVelX8,-89.6
1 ms,RadarObj8,RelAccX8,6458.3
0 ms,RadarObj9,RelPosX9,5045.0
0 ms,RadarObj9,RelPosY9,-839.1
0 ms,RadarObj9,RelVelX9,6394.700000000001
0 ms,RadarObj9,RelAccX9,-35.8
0 ms,RadarObj10,RelPosX10,-989.7
0 ms,RadarObj10,RelPosY10,5518.1
0 ms,RadarObj10,RelVelX10,-77.3
0 ms,RadarObj10,RelAccX10,6492.5
101 ms,VehicleStatus,VehicleSpeed,4.55
101 ms,VehicleStatus,SteeringAngle,-4523.2
1 ms,VehicleAccel,LateralAccel,7.316
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,1
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-969.8
0 ms,RadarObj1,RelPosY1,-223.69999999999993
0 ms,RadarObj1,RelVelX1,-54.5
0 ms,RadarObj1,RelAccX1,-17.1
0 ms,RadarObj2,RelPosX2,-402.1
0 ms,RadarObj2,RelPosY2,-691.2
0 ms,RadarObj2,RelVelX2,6370.700000000001
0 ms,RadarObj2,RelAccX2,6473.200000000001
0 ms,RadarObj3,RelPosX3,4593.200000000001
0 ms,RadarObj3,RelPosY3,5154.8
0 ms,RadarObj3,RelVelX3,6357.8
0 ms,RadarObj3,RelAccX3,6495.5
0 ms,RadarObj4,RelPosX4,-511.5
0 ms,RadarObj4,RelPosY4,5305.6
0 ms,RadarObj4,RelVelX4,6370.3
0 ms,RadarObj4,RelAccX4,6474.6
0 ms,RadarObj5,RelPosX5,4555.6
0 ms,RadarObj5,RelPosY5,-732.8
0 ms,RadarObj5,RelVelX5,6390.200000000001
0 ms,RadarObj5,RelAccX5,-41.6
1 ms,RadarObj6,RelPosX6,-271.5
1 ms,RadarObj6,RelPosY6,-25.899999999999977
1 ms,RadarObj6,RelVelX6,-67.5
1 ms,RadarObj6,RelAccX6,6485.700000000001
0 ms,RadarObj7,RelPosX7,-855.9
0 ms,RadarObj7,RelPosY7,-736.5999999999999
0 ms,RadarObj7,RelVelX7,-64.69999999999999
0 ms,RadarObj7,RelAccX7,6498.3
0 ms,RadarObj8,RelPosX8,5406.400000000001
0 ms,RadarObj8,RelPosY8,-55.299999999999955
0 ms,RadarObj8,RelVelX8,-94.4
0 ms,RadarObj8,RelAccX8,-45.2
0 ms,RadarObj9,RelPosX9,5135.8
0 ms,RadarObj9,RelPosY9,-767.9
0 ms,RadarObj9,RelVelX9,6450.6
0 ms,RadarObj9,RelAccX9,6491.5
0 ms,RadarObj10,RelPosX10,-920.8
0 ms,RadarObj10,RelPosY10,4656.1
0 ms,RadarObj10,RelVelX10,-7.599999999999994
0 ms,RadarObj10,RelAccX10,-8.399999999999999
100 ms,VehicleStatus,VehicleSpeed,119.51
100 ms,VehicleStatus,SteeringAngle,-4523.299999999999
0 ms,VehicleAccel,LateralAccel,1.561
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,1
0 ms,LaneInfo,LaneC2,0
0 ms,LaneInfo,LaneC3,1
0 ms,RadarObj1,RelPosX1,5465.400000000001
0 ms,RadarObj1,RelPosY1,-131.5999999999999
0 ms,RadarObj1,RelVelX1,-41.099999999999994
0 ms,RadarObj1,RelAccX1,6488.700000000001
0 ms,RadarObj2,RelPosX2,4996.0
0 ms,RadarObj2,RelPosY2,4944.6
0 ms,RadarObj2,RelVelX2,-73.2
0 ms,RadarObj2,RelAccX2,6497.1
1 ms,RadarObj3,RelPosX3,-851.9
1 ms,RadarObj3,RelPosY3,4964.6
1 ms,RadarObj3,RelVelX3,-88.4
1 ms,RadarObj3,RelAccX3,-47.1
0 ms,RadarObj4,RelPosX4,-676.9
0 ms,RadarObj4,RelPosY4,4562.3
0 ms,RadarObj4,RelVelX4,-55.8
0 ms,RadarObj4,RelAccX4,6500.900000000001
0 ms,RadarObj5,RelPosX5,-712.9
0 ms,RadarObj5,RelPosY5,-726.8
0 ms,RadarObj5,RelVelX5,-3.299999999999997
0 ms,RadarObj5,RelAccX5,-15.600000000000001
0 ms,RadarObj6,RelPosX6,-133.79999999999995
0 ms,RadarObj6,RelPosY6,-244.19999999999993
0 ms,RadarObj6,RelVelX6,-98.4
0 ms,RadarObj6,RelAccX6,6498.6
0 ms,RadarObj7,RelPosX7,5184.3
0 ms,RadarObj7,RelPosY7,-336.0999999999999
0 ms,RadarObj7,RelVelX7,-76.8
0 ms,RadarObj7,RelAccX7,-41.8
0 ms,RadarObj8,RelPosX8,5140.1
0 ms,RadarObj8,RelPosY8,5405.400000000001
0 ms,RadarObj8,RelVelX8,6421.8
0 ms,RadarObj8,RelAccX8,6493.900000000001
0 ms,RadarObj9,RelPosX9,4997.0
0 ms,RadarObj9,RelPosY9,5197.5
0 ms,RadarObj9,RelVelX9,6400.700000000001
0 ms,RadarObj9,RelAccX9,6477.200000000001
0 ms,RadarObj10,RelPosX10,4931.5
0 ms,RadarObj10,RelPosY10,-855.8
0 ms,RadarObj10,RelVelX10,6423.1
0 ms,RadarObj10,RelAccX10,-26.299999999999997
101 ms,VehicleStatus,VehicleSpeed,43.58
101 ms,VehicleStatus,SteeringAngle,-5657.5
0 ms,VehicleAccel,LateralAccel,7.646
0 ms,LaneInfo,LaneC0,1
0 ms,LaneInfo,LaneC1,1
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,4742.3
0 ms,RadarObj1,RelPosY1,5201.900000000001
0 ms,RadarObj1,RelVelX1,6370.0
0 ms,RadarObj1,RelAccX1,-8.699999999999996
0 ms,RadarObj2,RelPosX2,-527.8
0 ms,RadarObj2,RelPosY2,4678.6
0 ms,RadarObj2,RelVelX2,-15.799999999999997
0 ms,RadarObj2,RelAccX2,-37.3
0 ms,RadarObj3,RelPosX3,4759.0
0 ms,RadarObj3,RelPosY3,5054.0
0 ms,RadarObj3,RelVelX3,6377.5
0 ms,RadarObj3,RelAccX3,6476.400000000001
1 ms,RadarObj4,RelPosX4,-810.5
1 ms,RadarObj4,RelPosY4,-924.3
1 ms,RadarObj4,RelVelX4,6447.3
1 ms,RadarObj4,RelAccX4,6478.3
0 ms,RadarObj5,RelPosX5,-237.0
0 ms,RadarObj5,RelPosY5,-329.5999999999999
0 ms,RadarObj5,RelVelX5,-19.599999999999994
0 ms,RadarObj5,RelAccX5,6464.1
0 ms,RadarObj6,RelPosX6,-205.5
0 ms,RadarObj6,RelPosY6,5090.0
0 ms,RadarObj6,RelVelX6,-24.799999999999997
0 ms,RadarObj6,RelAccX6,-13.199999999999996
0 ms,RadarObj7,RelPosX7,4829.8
0 ms,RadarObj7,RelPosY7,5127.200000000001
0 ms,RadarObj7,RelVelX7,6391.8
0 ms,RadarObj7,RelAccX7,6498.200000000001
0 ms,RadarObj8,RelPosX8,4697.1
0 ms,RadarObj8,RelPosY8,5241.6
0 ms,RadarObj8,RelVelX8,-64.8
0 ms,RadarObj8,RelAccX8,-44.2
0 ms,RadarObj9,RelPosX9,-37.69999999999993
0 ms,RadarObj9,RelPosY9,5393.700000000001
0 ms,RadarObj9,RelVelX9,6383.5
0 ms,RadarObj9,RelAccX9,6460.1
0 ms,RadarObj10,RelPosX10,5340.6
0 ms,RadarObj10,RelPosY10,4852.8
0 ms,RadarObj10,RelVelX10,6436.5
0 ms,RadarObj10,RelAccX10,-49.0
100 ms,VehicleStatus,VehicleSpeed,48.84
100 ms,VehicleStatus,SteeringAngle,-5633.799999999999
0 ms,VehicleAccel,LateralAccel,4.349
1 ms,LaneInfo,LaneC0,0
1 ms,LaneInfo,LaneC1,0
1 ms,LaneInfo,LaneC2,1
1 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-317.5999999999999
0 ms,RadarObj1,RelPosY1,-879.0
0 ms,RadarObj1,RelVelX1,-46.4
0 ms,RadarObj1,RelAccX1,-5.799999999999997
0 ms,RadarObj2,RelPosX2,4606.400000000001
0 ms,RadarObj2,RelPosY2,-361.79999999999995
0 ms,RadarObj2,RelVelX2,6386.8
0 ms,RadarObj2,RelAccX2,-28.299999999999997
0 ms,RadarObj3,RelPosX3,5488.6
0 ms,RadarObj3,RelPosY3,-98.69999999999993
0 ms,RadarObj3,RelVelX3,-7.799999999999997
0 ms,RadarObj3,RelAccX3,-10.399999999999999
0 ms,RadarObj4,RelPosX4,-85.29999999999995
0 ms,RadarObj4,RelPosY4,-378.19999999999993
0 ms,RadarObj4,RelVelX4,-96.1
0 ms,RadarObj4,RelAccX4,6469.400000000001
0 ms,RadarObj5,RelPosX5,4842.3
0 ms,RadarObj5,RelPosY5,-716.4
0 ms,RadarObj5,RelVelX5,6359.200000000001
0 ms,RadarObj5,RelAccX5,6456.900000000001
1 ms,RadarObj6,RelPosX6,-533.5999999999999
1 ms,RadarObj6,RelPosY6,5093.1
1 ms,RadarObj6,RelVelX6,-47.699999999999996
1 ms,RadarObj6,RelAccX6,-19.299999999999997
0 ms,RadarObj7,RelPosX7,-972.8
0 ms,RadarObj7,RelPosY7,5128.8
0 ms,RadarObj7,RelVelX7,-7.0
0 ms,RadarObj7,RelAccX7,-42.3
0 ms,RadarObj8,RelPosX8,5248.200000000001
0 ms,RadarObj8,RelPosY8,-771.9
0 ms,RadarObj8,RelVelX8,-18.39999999999999
0 ms,RadarObj8,RelAccX8,6470.200000000001
0 ms,RadarObj9,RelPosX9,5398.1
0 ms,RadarObj9,RelPosY9,-911.7
0 ms,RadarObj9,RelVelX9,6373.1
0 ms,RadarObj9,RelAccX9,-44.1
0 ms,RadarObj10,RelPosX10,4716.900000000001
0 ms,RadarObj10,RelPosY10,5061.3
0 ms,RadarObj10,RelVelX10,6380.5
0 ms,RadarObj10,RelAccX10,6469.700000000001
100 ms,VehicleStatus,VehicleSpeed,108.38
100 ms,VehicleStatus,SteeringAngle,-4387.9
0 ms,VehicleAccel,LateralAccel,61.065
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,1
0 ms,LaneInfo,LaneC2,0
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-380.4
0 ms,RadarObj1,RelPosY1,5056.3
0 ms,RadarObj1,RelVelX1,6415.700000000001
0 ms,RadarObj1,RelAccX1,-41.6
0 ms,RadarObj2,RelPosX2,4750.8
0 ms,RadarObj2,RelPosY2,-996.0
0 ms,RadarObj2,RelVelX2,-85.6
0 ms,RadarObj2,RelAccX2,-31.4
1 ms,RadarObj3,RelPosX3,4809.8
1 ms,RadarObj3,RelPosY3,-219.19999999999993
1 ms,RadarObj3,RelVelX3,-4.299999999999997
1 ms,RadarObj3,RelAccX3,-21.9
0 ms,RadarObj4,RelPosX4,-309.4
0 ms,RadarObj4,RelPosY4,-877.1
0 ms,RadarObj4,RelVelX4,-35.8
0 ms,RadarObj4,RelAccX4,6503.1
0 ms,RadarObj5,RelPosX5,4893.3
0 ms,RadarObj5,RelPosY5,5481.8
0 ms,RadarObj5,RelVelX5,-68.4
0 ms,RadarObj5,RelAccX5,6487.700000000001
0 ms,RadarObj6,RelPosX6,5458.3
0 ms,RadarObj6,RelPosY6,5510.8
0 ms,RadarObj6,RelVelX6,-42.3
0 ms,RadarObj6,RelAccX6,-33.0
0 ms,RadarObj7,RelPosX7,4801.0
0 ms,RadarObj7,RelPosY7,-17.0
0 ms,RadarObj7,RelVelX7,6365.1
0 ms,RadarObj7,RelAccX7,-47.4
0 ms,RadarObj8,RelPosX8,-562.7
0 ms,RadarObj8,RelPosY8,-721.0
0 ms,RadarObj8,RelVelX8,6414.8
0 ms,RadarObj8,RelAccX8,6474.5
0 ms,RadarObj9,RelPosX9,-490.7
0 ms,RadarObj9,RelPosY9,-553.9
0 ms,RadarObj9,RelVelX9,6369.700000000001
0 ms,RadarObj9,RelAccX9,-22.5
0 ms,RadarObj10,RelPosX10,-609.0
0 ms,RadarObj10,RelPosY10,4728.900000000001
0 ms,RadarObj10,RelVelX10,-48.5
0 ms,RadarObj10,RelAccX10,6498.700000000001
100 ms,VehicleStatus,VehicleSpeed,221.93
100 ms,VehicleStatus,SteeringAngle,-4523.299999999999
0 ms,VehicleAccel,LateralAccel,65.296
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,1
0 ms,LaneInfo,LaneC2,0
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-294.19999999999993
0 ms,RadarObj1,RelPosY1,5432.400000000001
0 ms,RadarObj1,RelVelX1,-39.599999999999994
0 ms,RadarObj1,RelAccX1,-29.799999999999997
0 ms,RadarObj2,RelPosX2,-813.7
0 ms,RadarObj2,RelPosY2,5344.0
0 ms,RadarObj2,RelVelX2,6403.400000000001
0 ms,RadarObj2,RelAccX2,6468.0
0 ms,RadarObj3,RelPosX3,5446.6
0 ms,RadarObj3,RelPosY3,5345.200000000001
0 ms,RadarObj3,RelVelX3,6364.1
0 ms,RadarObj3,RelAccX3,6489.200000000001
0 ms,RadarObj4,RelPosX4,4884.200000000001
0 ms,RadarObj4,RelPosY4,5378.200000000001
0 ms,RadarObj4,RelVelX4,-42.3
0 ms,RadarObj4,RelAccX4,6488.1
0 ms,RadarObj5,RelPosX5,-451.29999999999995
0 ms,RadarObj5,RelPosY5,-213.5
0 ms,RadarObj5,RelVelX5,-10.5
0 ms,RadarObj5,RelAccX5,-6.0
0 ms,RadarObj6,RelPosX6,4697.900000000001
0 ms,RadarObj6,RelPosY6,5508.700000000001
0 ms,RadarObj6,RelVelX6,-34.8
0 ms,RadarObj6,RelAccX6,-24.4
0 ms,RadarObj7,RelPosX7,-482.29999999999995
0 ms,RadarObj7,RelPosY7,4663.900000000001
0 ms,RadarObj7,RelVelX7,-55.699999999999996
0 ms,RadarObj7,RelAccX7,-37.2
0 ms,RadarObj8,RelPosX8,5405.700000000001
0 ms,RadarObj8,RelPosY8,4664.6
